Rk;Player;Salary;Team 
15;Mengke Bateer;636679;TOR
16;Lonny Baxter;636679;TOR
17;Roger Mason;563679;TOR
1;Greg Ostertag;8666666;UTA
2;Glen Rice;6815000;UTA
3;Keon Clark;5000600;UTA
4;Matt Harpring;4290000;UTA
5;DeShawn Stevenson;1616087;UTA
6;Jarron Collins;1250000;UTA
7;Curtis Borchardt;1187240;UTA
8;Sasha Pavlovic;1107960;UTA
9;Andrei Kirilenko;955800;UTA
10;Carlos Arroyo;800000;UTA
11;Raja Bell;688679;UTA
12;Michael Ruffin;663679;UTA
13;Raul Lopez;621520;UTA
14;Ben Handlogten;366931;UTA
15;Mo Williams;366931;UTA
16;Paul Grant;350581;UTA
1;Gilbert Arenas;8536000;WAS
2;Jerry Stackhouse;6906250;WAS
3;Christian Laettner;5625000;WAS
4;Larry Hughes;5000600;WAS
5;Brevin Knight;5000000;WAS
6;Kwame Brown;4252080;WAS
7;Etan Thomas;2200942;WAS
8;Jarvis Hayes;1748760;WAS
9;Jared Jeffries;1714440;WAS
10;Juan Dixon;1260360;WAS
11;Brendan Haywood;1125360;WAS
12;Chris Whitney;1070000;WAS
13;Mitchell Butler;876179;WAS
14;Steve Blake;366931;WAS
